Date Read,Author,Title,Published,Rating
20171122,Питер Ф. Гамильтон,Звезда Пандоры,2004,★★★☆☆
20171202,Ли Чайлд,Этаж Смерти,1997,☆☆☆☆☆
20171203,Юрій Винничук,Аптекар,2015,★★★★☆
20171208,Бруно Шульц,Цинамонові крамниці,1934,★★★★★
20171220,Кадзуо Исигуро,Остаток дня,2011,☆☆☆☆☆
20171226,Ієн Бенкс,Ексцесія,1996,☆☆☆☆☆
20180117,Стивен Фрай,Моав — умывальная чаша моя,1997,☆☆☆☆☆
20180121,Дэйв Эггерс,Сфера,2013,★★★☆☆
20180210,Charles Duhigg,Smarter Faster Better,2016,★★★☆☆
20180216,Timothy Ferriss,Tools of Titans,2016,★★★☆☆
20180216,Duff McDonald,The Firm,2013,★★★☆☆
20180225,Ira Levin,The Boys from Brazil,1976,★★☆☆☆
20180315,Лю Цысинь,Задача трех тел,2006,★★☆☆☆
20180326,Алан Дін Фостер,Чужий,1979,★★★☆☆
20180415,А.Дж. Финн,Женщина в окне,2018,★★☆☆☆
20180423,Richard K. Morgan,Altered Carbon,2002,★★★☆☆
20180507,John M. Barry,The Great Influenza,2004,☆☆☆☆☆
20180508,Elliot R. Wolfson,Open Secret,2009,★★☆☆☆
20180512,Ted Kosmatka,The Flicker Men,2015,★★★☆☆
20180517,Сергій Жадан,Інтернат,2017,★★★☆☆
20180608,Энди Вейер,Марсианин,2012,★★★☆☆
20180628,Джулия Уолтон,Слова на стене,2017,★★☆☆☆
20180628,Стивен Кинг,Гвенди и ее шкатулка,2017,★★★☆☆
20180701,Мартін Бубер,Я і Ти,1948,★★★★☆
20180701,Кормак Маккарті,Дорога,2006,★★★☆☆
20180715,Кліффорд Сімак,Транзитна станція,1963,★★★☆☆
20180722,John Braddock,A Spy’s Guide to Thinking,2018,★★★☆☆
20180930,Gerald Schroeder,Genesis and the Big Bang Theory,1990,★★★★★
20180930,Цуцуй Ясутака,Пекло,2008,★★★☆☆
20180930,Alanna Collen,10% Human,2015,★★★☆☆
20181019,Alan B. Trabue,A Life of Lies and Spies,2014,★★★☆☆
20181020,Teachings Of Gurdjieff,Charles Stanley Nott,1961,★★★☆☆
20181020,Сергій Плохій,Убивство у Мюнхені,2017,★★★☆☆
20181031,Жизнь как квеч,Майкл Векс,2017,★★★★☆
20181031,John Carreyrou,Bad Blood,2018,★★★☆☆
20190106,Laurie Mintz,Becoming Cliterate,2017,★★☆☆☆
20190106,Айзек Азимов,Конец Вечности,1955,★★★★★
20190107,Nathan J Gordon,Essentials of polygraph,2017,★★★☆☆
20190107,Робин Слоун,Круглосуточный книжный Пенумбры,2012,★★★☆☆
